,drug_combination,cell_line,synergy
556,Trametinib + Pictilisib,HCT116,1.0
557,Trametinib + SCH772984,HCT116,1.0
558,Trametinib + Taselisib,HCT116,1.0
559,AZD7762 + Cisplatin,HCT15,1.0
560,AZD7762 + MK-1775,HCT15,1.0
561,Lapatinib + Crizotinib,HCT15,1.0
562,Lapatinib + Dabrafenib,HCT15,1.0
563,Lapatinib + LGK974,HCT15,1.0
564,Lapatinib + Linsitinib,HCT15,1.0
565,Lapatinib + MK-2206,HCT15,1.0
566,Lapatinib + Navitoclax,HCT15,1.0
567,Lapatinib + PD173074,HCT15,1.0
568,Lapatinib + Palbociclib,HCT15,1.0
569,Lapatinib + Pictilisib,HCT15,0.0
570,Lapatinib + Taselisib,HCT15,1.0
571,Lapatinib + Trametinib,HCT15,1.0
572,MK-1775 + Cisplatin,HCT15,1.0
573,MK-1775 + Nutlin-3a (-),HCT15,1.0
