,inhibitor_combination,cell_line,synergy
545,MEKi + PI3Ki,HCT15,1.0
546,MEKi + PORCNi,HCT15,1.0
547,PARPi + WEE1i,HCT15,0.0
548,PI3Ki + AKTi,HCT15,0.0
549,PI3Ki + BCL2i,HCT15,1.0
550,PI3Ki + CDKi,HCT15,1.0
551,PI3Ki + ErrBi,HCT15,1.0
552,PI3Ki + IGFRi,HCT15,1.0
553,PI3Ki + MEKi,HCT15,1.0
554,PI3Ki + MTORi,HCT15,1.0
555,PI3Ki + PARPi,HCT15,1.0
556,PI3Ki + PORCNi,HCT15,1.0
557,WEE1i + ATMa,HCT15,1.0
558,WEE1i + MDM2i,HCT15,1.0
559,WEE1i + PI3Ki,HCT15,1.0
560,ABL1i + MEKi,HT29,0.0
561,AKTi + MTORi,HT29,1.0
562,BCL2i + EGFRi,HT29,1.0
563,BCL2i + ErrBi,HT29,1.0
564,BCL2i + MEKi,HT29,1.0
565,BCL2i + PI3Ki,HT29,1.0
566,CHEKi + ATMa,HT29,1.0
567,CHEKi + WEE1i,HT29,1.0
568,ErrBi + AKTi,HT29,1.0
569,ErrBi + BCL2i,HT29,1.0
570,ErrBi + CDKi,HT29,0.0
571,ErrBi + FGFRi,HT29,1.0
572,ErrBi + IGFRi,HT29,1.0
573,ErrBi + MEKi,HT29,1.0
574,ErrBi + METi,HT29,1.0
575,ErrBi + PI3Ki,HT29,0.5
576,ErrBi + PORCNi,HT29,1.0
577,ErrBi + RAFi,HT29,1.0
578,MEKi + AKTi,HT29,1.0
579,MEKi + BCL2i,HT29,1.0
580,MEKi + CDKi,HT29,0.0
581,MEKi + ERKi,HT29,0.0
582,MEKi + ErrBi,HT29,1.0
583,MEKi + IGFRi,HT29,0.0
584,MEKi + PARPi,HT29,1.0
585,MEKi + PI3Ki,HT29,0.5
586,MEKi + PORCNi,HT29,1.0
587,PARPi + WEE1i,HT29,0.0
588,PI3Ki + AKTi,HT29,1.0
589,PI3Ki + BCL2i,HT29,1.0
590,PI3Ki + CDKi,HT29,1.0
591,PI3Ki + ErrBi,HT29,1.0
592,PI3Ki + IGFRi,HT29,0.0
593,PI3Ki + MEKi,HT29,1.0
594,PI3Ki + MTORi,HT29,0.0
595,PI3Ki + PARPi,HT29,1.0
596,PI3Ki + PORCNi,HT29,1.0
597,WEE1i + ATMa,HT29,1.0
598,WEE1i + MDM2i,HT29,1.0
599,WEE1i + PI3Ki,HT29,0.0
600,ABL1i + MEKi,HT55,1.0
601,AKTi + MTORi,HT55,1.0
602,BCL2i + EGFRi,HT55,1.0
603,BCL2i + ErrBi,HT55,1.0
604,BCL2i + MEKi,HT55,1.0
605,BCL2i + PI3Ki,HT55,1.0
606,CHEKi + ATMa,HT55,1.0
607,CHEKi + WEE1i,HT55,1.0
608,ErrBi + AKTi,HT55,1.0
609,ErrBi + BCL2i,HT55,1.0
610,ErrBi + CDKi,HT55,1.0
611,ErrBi + FGFRi,HT55,1.0
612,ErrBi + IGFRi,HT55,1.0
