drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
Prexasertib,PF-3644022,SW837,-0.959242029,PD_18,PD_17
Torin 1,Capivasertib,SW837,5.39075182,PD_08,PD_03
Torin 1,Ipatasertib,SW837,7.532483802,PD_08,PD_03
Torin 1,Lapatinib,SW837,8.29385471,PD_08,PD_11
Torin 1,Navitoclax,SW837,22.23685776,PD_08,PD_13
Torin 1,Neratinib,SW837,6.30428563,PD_08,PD_11
Torin 1,Obatoclax,SW837,4.005375046,PD_08,PD_15
Torin 1,Oxaliplatin,SW837,-2.192898924,PD_08,
Torin 1,Palbociclib,SW837,-1.706612285,PD_08,PD_16
Torin 1,SN-38,SW837,3.16524105,PD_08,
Torin 1,Ulixertinib,SW837,-1.263106291,PD_08,PD_21
AZD-8055,Capivasertib,SW948,11.48249361,PD_02,PD_03
AZD-8055,Ipatasertib,SW948,14.29622341,PD_02,PD_03
AZD-8055,Lapatinib,SW948,19.14798562,PD_02,PD_11
AZD-8055,Navitoclax,SW948,21.35125509,PD_02,PD_13
AZD-8055,Neratinib,SW948,3.721114319,PD_02,PD_11
AZD-8055,Obatoclax,SW948,5.562877154,PD_02,PD_15
AZD-8055,Oxaliplatin,SW948,-1.57766525,PD_02,
