drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Taselisib,MK-2206,PD_07,PD_05,KM12,1
Taselisib,MK-2206,PD_07,PD_05,LS123,1
Taselisib,MK-2206,PD_07,PD_05,LS180,1
Taselisib,MK-2206,PD_07,PD_05,LS411N,1
Taselisib,MK-2206,PD_07,PD_05,LS513,1
Taselisib,MK-2206,PD_07,PD_05,LOVO,1
Taselisib,MK-2206,PD_07,PD_05,MDST8,0
Taselisib,MK-2206,PD_07,PD_05,NCIH716,0
Taselisib,MK-2206,PD_07,PD_05,NCIH747,0
Taselisib,MK-2206,PD_07,PD_05,RCM1,1
Taselisib,MK-2206,PD_07,PD_05,RKO,0
Taselisib,MK-2206,PD_07,PD_05,SKCO1,0
Taselisib,MK-2206,PD_07,PD_05,SNU175,0
Taselisib,MK-2206,PD_07,PD_05,SNU407,0
Taselisib,MK-2206,PD_07,PD_05,SNU61,0
Taselisib,MK-2206,PD_07,PD_05,SNUC1,1
Taselisib,MK-2206,PD_07,PD_05,SNUC2B,0
Taselisib,MK-2206,PD_07,PD_05,SNUC5,0
Taselisib,MK-2206,PD_07,PD_05,SW1116,0
Taselisib,MK-2206,PD_07,PD_05,SW1417,0
Taselisib,MK-2206,PD_07,PD_05,SW1463,1
Taselisib,MK-2206,PD_07,PD_05,SW48,0
Taselisib,MK-2206,PD_07,PD_05,SW620,1
Taselisib,MK-2206,PD_07,PD_05,SW626,1
Taselisib,MK-2206,PD_07,PD_05,SW837,1
Taselisib,MK-2206,PD_07,PD_05,SW948,1
Taselisib,MK-2206,PD_07,PD_05,T84,1
Trametinib,Palbociclib,PD_08,PD_06,C2BBE1,0
Trametinib,Palbociclib,PD_08,PD_06,CCK81,1
Trametinib,Palbociclib,PD_08,PD_06,CL11,1
Trametinib,Palbociclib,PD_08,PD_06,CL40,0
Trametinib,Palbociclib,PD_08,PD_06,COLO205,0
Trametinib,Palbociclib,PD_08,PD_06,COLO320HSR,0
Trametinib,Palbociclib,PD_08,PD_06,COLO678,0
Trametinib,Palbociclib,PD_08,PD_06,CW2,0
Trametinib,Palbociclib,PD_08,PD_06,CAR1,0
Trametinib,Palbociclib,PD_08,PD_06,DIFI,0
Trametinib,Palbociclib,PD_08,PD_06,GP5D,1
Trametinib,Palbociclib,PD_08,PD_06,HCC2998,1
Trametinib,Palbociclib,PD_08,PD_06,HCT116,1
Trametinib,Palbociclib,PD_08,PD_06,HCT15,1
Trametinib,Palbociclib,PD_08,PD_06,HT29,0
Trametinib,Palbociclib,PD_08,PD_06,HT55,0
Trametinib,Palbociclib,PD_08,PD_06,KM12,0
Trametinib,Palbociclib,PD_08,PD_06,LS123,0
Trametinib,Palbociclib,PD_08,PD_06,LS180,1
Trametinib,Palbociclib,PD_08,PD_06,LS411N,1
Trametinib,Palbociclib,PD_08,PD_06,LOVO,0
Trametinib,Palbociclib,PD_08,PD_06,NCIH716,0
Trametinib,Palbociclib,PD_08,PD_06,NCIH747,0
Trametinib,Palbociclib,PD_08,PD_06,RCM1,0
Trametinib,Palbociclib,PD_08,PD_06,RKO,1
Trametinib,Palbociclib,PD_08,PD_06,SKCO1,1
Trametinib,Palbociclib,PD_08,PD_06,SNU175,0
