drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Navitoclax,Afatinib,PD_02,PD_07,SNUC1,0
Navitoclax,Afatinib,PD_02,PD_07,SNUC2B,1
Navitoclax,Afatinib,PD_02,PD_07,SNUC5,0
Navitoclax,Afatinib,PD_02,PD_07,SW1116,1
Navitoclax,Afatinib,PD_02,PD_07,SW1417,1
Navitoclax,Afatinib,PD_02,PD_07,SW1463,1
Navitoclax,Afatinib,PD_02,PD_07,SW48,1
Navitoclax,Afatinib,PD_02,PD_07,SW620,1
Navitoclax,Afatinib,PD_02,PD_07,SW626,1
Navitoclax,Afatinib,PD_02,PD_07,SW837,1
Navitoclax,Afatinib,PD_02,PD_07,SW948,1
Navitoclax,Afatinib,PD_02,PD_07,T84,1
Trametinib,Afatinib,PD_15,PD_07,C2BBE1,0
Trametinib,Afatinib,PD_15,PD_07,CCK81,1
Trametinib,Afatinib,PD_15,PD_07,CL11,1
Trametinib,Afatinib,PD_15,PD_07,CL40,0
Trametinib,Afatinib,PD_15,PD_07,COLO205,1
Trametinib,Afatinib,PD_15,PD_07,COLO320HSR,1
Trametinib,Afatinib,PD_15,PD_07,COLO678,0
Trametinib,Afatinib,PD_15,PD_07,CW2,1
Trametinib,Afatinib,PD_15,PD_07,CAR1,1
Trametinib,Afatinib,PD_15,PD_07,DIFI,0
Trametinib,Afatinib,PD_15,PD_07,GP5D,1
Trametinib,Afatinib,PD_15,PD_07,HCC2998,1
Trametinib,Afatinib,PD_15,PD_07,HCT116,1
Trametinib,Afatinib,PD_15,PD_07,HCT15,1
Trametinib,Afatinib,PD_15,PD_07,HT29,1
Trametinib,Afatinib,PD_15,PD_07,HT55,0
Trametinib,Afatinib,PD_15,PD_07,KM12,0
Trametinib,Afatinib,PD_15,PD_07,LS123,1
Trametinib,Afatinib,PD_15,PD_07,LS180,1
Trametinib,Afatinib,PD_15,PD_07,LS411N,1
Trametinib,Afatinib,PD_15,PD_07,LS513,1
Trametinib,Afatinib,PD_15,PD_07,LOVO,1
Trametinib,Afatinib,PD_15,PD_07,MDST8,1
Trametinib,Afatinib,PD_15,PD_07,NCIH716,1
Trametinib,Afatinib,PD_15,PD_07,NCIH747,1
Trametinib,Afatinib,PD_15,PD_07,RCM1,1
Trametinib,Afatinib,PD_15,PD_07,RKO,1
Trametinib,Afatinib,PD_15,PD_07,SKCO1,1
Trametinib,Afatinib,PD_15,PD_07,SNU175,0
Trametinib,Afatinib,PD_15,PD_07,SNU407,1
Trametinib,Afatinib,PD_15,PD_07,SNU61,1
Trametinib,Afatinib,PD_15,PD_07,SNUC1,0
Trametinib,Afatinib,PD_15,PD_07,SNUC2B,0
Trametinib,Afatinib,PD_15,PD_07,SNUC5,1
Trametinib,Afatinib,PD_15,PD_07,SW1116,1
Trametinib,Afatinib,PD_15,PD_07,SW1417,1
Trametinib,Afatinib,PD_15,PD_07,SW1463,1
Trametinib,Afatinib,PD_15,PD_07,SW48,1
Trametinib,Afatinib,PD_15,PD_07,SW620,0
Trametinib,Afatinib,PD_15,PD_07,SW626,1
Trametinib,Afatinib,PD_15,PD_07,SW837,1
Trametinib,Afatinib,PD_15,PD_07,SW948,1
Trametinib,Afatinib,PD_15,PD_07,T84,1
Taselisib,Afatinib,PD_12,PD_07,C2BBE1,1
Taselisib,Afatinib,PD_12,PD_07,CCK81,1
Taselisib,Afatinib,PD_12,PD_07,CL11,0
Taselisib,Afatinib,PD_12,PD_07,CL40,1
Taselisib,Afatinib,PD_12,PD_07,COLO205,1
Taselisib,Afatinib,PD_12,PD_07,COLO320HSR,1
Taselisib,Afatinib,PD_12,PD_07,COLO678,0
Taselisib,Afatinib,PD_12,PD_07,CW2,1
Taselisib,Afatinib,PD_12,PD_07,CAR1,1
Taselisib,Afatinib,PD_12,PD_07,DIFI,0
Taselisib,Afatinib,PD_12,PD_07,GP5D,0
Taselisib,Afatinib,PD_12,PD_07,HCC2998,1
Taselisib,Afatinib,PD_12,PD_07,HCT116,1
Taselisib,Afatinib,PD_12,PD_07,HCT15,1
Taselisib,Afatinib,PD_12,PD_07,HT29,1
Taselisib,Afatinib,PD_12,PD_07,HT55,1
Taselisib,Afatinib,PD_12,PD_07,KM12,0
Taselisib,Afatinib,PD_12,PD_07,LS123,1
Taselisib,Afatinib,PD_12,PD_07,LS180,1
Taselisib,Afatinib,PD_12,PD_07,LS411N,0
Taselisib,Afatinib,PD_12,PD_07,LS513,1
Taselisib,Afatinib,PD_12,PD_07,LOVO,1
Taselisib,Afatinib,PD_12,PD_07,MDST8,0
Taselisib,Afatinib,PD_12,PD_07,NCIH716,0
Taselisib,Afatinib,PD_12,PD_07,NCIH747,1
Taselisib,Afatinib,PD_12,PD_07,RCM1,0
Taselisib,Afatinib,PD_12,PD_07,RKO,1
Taselisib,Afatinib,PD_12,PD_07,SKCO1,1
Taselisib,Afatinib,PD_12,PD_07,SNU175,0
Taselisib,Afatinib,PD_12,PD_07,SNU407,1
Taselisib,Afatinib,PD_12,PD_07,SNU61,1
Taselisib,Afatinib,PD_12,PD_07,SNUC1,1
Taselisib,Afatinib,PD_12,PD_07,SNUC2B,1
Taselisib,Afatinib,PD_12,PD_07,SNUC5,0
Taselisib,Afatinib,PD_12,PD_07,SW1116,1
Taselisib,Afatinib,PD_12,PD_07,SW1417,1
Taselisib,Afatinib,PD_12,PD_07,SW1463,1
Taselisib,Afatinib,PD_12,PD_07,SW48,0
Taselisib,Afatinib,PD_12,PD_07,SW620,1
