drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
PF 477736,MK-1775 (Advosertib),NCI-H747,-6.808375135,PD_02,PD_06
PF 477736,Niraparib,NCI-H747,-3.637117354,PD_02,PD_05
PF 477736,Olaparib,NCI-H747,-5.978985385,PD_02,PD_05
PF 477736,Palbociclib,NCI-H747,-17.33062583,PD_02,PD_08
PF 477736,PF-3644022,NCI-H747,-15.74245397,PD_02,PD_07
Prexasertib,MK-1775 (Advosertib),NCI-H747,-0.98350085,PD_02,PD_06
Prexasertib,Niraparib,NCI-H747,-3.725204241,PD_02,PD_05
Prexasertib,Olaparib,NCI-H747,-4.119122029,PD_02,PD_05
Prexasertib,Palbociclib,NCI-H747,-18.86547948,PD_02,PD_08
Prexasertib,PF-3644022,NCI-H747,-12.40485641,PD_02,PD_07
Torin 1,Capivasertib,NCI-H747,-6.139648627,PD_03,PD_01
Torin 1,Ipatasertib,NCI-H747,-6.160019519,PD_03,PD_01
Torin 1,Lapatinib,NCI-H747,-6.638782819,PD_03,PD_04
Torin 1,Navitoclax,NCI-H747,-0.677601542,PD_03,PD_09
Torin 1,Neratinib,NCI-H747,-9.943137823,PD_03,PD_04
Torin 1,Obatoclax Mesylate,NCI-H747,1.219536031,PD_03,PD_10
Torin 1,oxaliplatin,NCI-H747,-5.982235653,PD_03,
Torin 1,Palbociclib,NCI-H747,-0.382919844,PD_03,PD_08
Torin 1,SN-38,NCI-H747,-2.722293188,PD_03,
Torin 1,Ulixertinib,NCI-H747,-3.231406312,PD_03,PD_11
AZD-8055,Capivasertib,SNU-81,-10.24000471,PD_03,PD_01
AZD-8055,Ipatasertib,SNU-81,-13.47286218,PD_03,PD_01
AZD-8055,Lapatinib,SNU-81,-3.574844408,PD_03,PD_04
AZD-8055,Navitoclax,SNU-81,4.180818485,PD_03,PD_09
AZD-8055,Neratinib,SNU-81,-8.635228229,PD_03,PD_04
AZD-8055,Obatoclax Mesylate,SNU-81,0.418732743,PD_03,PD_10
AZD-8055,oxaliplatin,SNU-81,-15.01483237,PD_03,
AZD-8055,Palbociclib,SNU-81,-3.737417347,PD_03,PD_08
AZD-8055,SN-38,SNU-81,-15.6353081,PD_03,
AZD-8055,Ulixertinib,SNU-81,-4.61279844,PD_03,PD_11
Capivasertib,Lapatinib,SNU-81,-0.020870332,PD_01,PD_04
Capivasertib,Neratinib,SNU-81,2.553595083,PD_01,PD_04
Everolimus,Capivasertib,SNU-81,-5.687021765,PD_03,PD_01
Everolimus,Ipatasertib,SNU-81,-9.687624732,PD_03,PD_01
Everolimus,Lapatinib,SNU-81,-5.510117497,PD_03,PD_04
Everolimus,Navitoclax,SNU-81,1.904378409,PD_03,PD_09
Everolimus,Neratinib,SNU-81,-11.59564182,PD_03,PD_04
Everolimus,Obatoclax Mesylate,SNU-81,2.36234715,PD_03,PD_10
Everolimus,oxaliplatin,SNU-81,-15.55621155,PD_03,
Everolimus,Palbociclib,SNU-81,-1.444915494,PD_03,PD_08
Everolimus,SN-38,SNU-81,-13.38811996,PD_03,
Everolimus,Ulixertinib,SNU-81,-3.299148398,PD_03,PD_11
Ipatasertib,Lapatinib,SNU-81,-2.28931559,PD_01,PD_04
Ipatasertib,Neratinib,SNU-81,-5.701379046,PD_01,PD_04
PF 477736,MK-1775 (Advosertib),SNU-81,6.052981493,PD_02,PD_06
PF 477736,Niraparib,SNU-81,-5.408335555,PD_02,PD_05
PF 477736,Olaparib,SNU-81,-3.288187262,PD_02,PD_05
PF 477736,Palbociclib,SNU-81,-10.80766265,PD_02,PD_08
PF 477736,PF-3644022,SNU-81,-4.449104567,PD_02,PD_07
Prexasertib,MK-1775 (Advosertib),SNU-81,7.479519667,PD_02,PD_06
Prexasertib,Niraparib,SNU-81,-2.78490395,PD_02,PD_05
Prexasertib,Olaparib,SNU-81,-6.841075644,PD_02,PD_05
Prexasertib,Palbociclib,SNU-81,-11.78669138,PD_02,PD_08
Prexasertib,PF-3644022,SNU-81,-4.335453819,PD_02,PD_07
Torin 1,Capivasertib,SNU-81,-9.007970669,PD_03,PD_01
Torin 1,Ipatasertib,SNU-81,-11.38976721,PD_03,PD_01
Torin 1,Lapatinib,SNU-81,-7.351746452,PD_03,PD_04
Torin 1,Navitoclax,SNU-81,1.195208278,PD_03,PD_09
Torin 1,Neratinib,SNU-81,-7.717935303,PD_03,PD_04
Torin 1,Obatoclax Mesylate,SNU-81,4.496628967,PD_03,PD_10
Torin 1,oxaliplatin,SNU-81,-11.77376001,PD_03,
Torin 1,Palbociclib,SNU-81,-3.113984157,PD_03,PD_08
Torin 1,SN-38,SNU-81,-14.86027364,PD_03,
Torin 1,Ulixertinib,SNU-81,-5.279451752,PD_03,PD_11
AZD-8055,Capivasertib,SW620,-5.876362947,PD_03,PD_01
AZD-8055,Ipatasertib,SW620,-11.84254778,PD_03,PD_01
AZD-8055,Lapatinib,SW620,-13.57761201,PD_03,PD_04
AZD-8055,Navitoclax,SW620,0.326634277,PD_03,PD_09
AZD-8055,Neratinib,SW620,-3.792017386,PD_03,PD_04
AZD-8055,Obatoclax Mesylate,SW620,-7.343905453,PD_03,PD_10
AZD-8055,oxaliplatin,SW620,-7.243527607,PD_03,
AZD-8055,Palbociclib,SW620,-9.323486282,PD_03,PD_08
AZD-8055,SN-38,SW620,-10.12900291,PD_03,
AZD-8055,Ulixertinib,SW620,-5.490145699,PD_03,PD_11
Capivasertib,Lapatinib,SW620,-2.050543922,PD_01,PD_04
Capivasertib,Neratinib,SW620,-4.964857125,PD_01,PD_04
Everolimus,Capivasertib,SW620,-4.471908902,PD_03,PD_01
Everolimus,Ipatasertib,SW620,-7.910203164,PD_03,PD_01
Everolimus,Lapatinib,SW620,-18.15550649,PD_03,PD_04
Everolimus,Navitoclax,SW620,-3.281104069,PD_03,PD_09
Everolimus,Neratinib,SW620,-12.77377267,PD_03,PD_04
Everolimus,Obatoclax Mesylate,SW620,-4.152148989,PD_03,PD_10
Everolimus,oxaliplatin,SW620,-16.78477929,PD_03,
Everolimus,Palbociclib,SW620,-11.99206597,PD_03,PD_08
Everolimus,SN-38,SW620,-12.21276182,PD_03,
Everolimus,Ulixertinib,SW620,-7.991102142,PD_03,PD_11
Ipatasertib,Lapatinib,SW620,-1.056416653,PD_01,PD_04
Ipatasertib,Neratinib,SW620,-13.71747088,PD_01,PD_04
PF 477736,MK-1775 (Advosertib),SW620,3.955687148,PD_02,PD_06
PF 477736,Niraparib,SW620,3.331719868,PD_02,PD_05
PF 477736,Olaparib,SW620,-10.84154923,PD_02,PD_05
PF 477736,Palbociclib,SW620,-9.07663928,PD_02,PD_08
PF 477736,PF-3644022,SW620,-16.95028805,PD_02,PD_07
Prexasertib,MK-1775 (Advosertib),SW620,8.414530295,PD_02,PD_06
Prexasertib,Niraparib,SW620,-0.126429631,PD_02,PD_05
Prexasertib,Olaparib,SW620,-11.4155131,PD_02,PD_05
Prexasertib,Palbociclib,SW620,-18.97975747,PD_02,PD_08
Prexasertib,PF-3644022,SW620,-12.34582663,PD_02,PD_07
Torin 1,Capivasertib,SW620,-1.972668378,PD_03,PD_01
Torin 1,Ipatasertib,SW620,-8.159837287,PD_03,PD_01
Torin 1,Lapatinib,SW620,-17.19327707,PD_03,PD_04
Torin 1,Navitoclax,SW620,-3.054659719,PD_03,PD_09
Torin 1,Neratinib,SW620,-11.57433503,PD_03,PD_04
Torin 1,Obatoclax Mesylate,SW620,-3.105893108,PD_03,PD_10
Torin 1,oxaliplatin,SW620,-15.72719615,PD_03,
Torin 1,Palbociclib,SW620,-10.33416352,PD_03,PD_08
Torin 1,SN-38,SW620,-11.54831473,PD_03,
Torin 1,Ulixertinib,SW620,-12.65627676,PD_03,PD_11
AZD-8055,Capivasertib,SW837,0.648996142,PD_03,PD_01
AZD-8055,Ipatasertib,SW837,-1.950836969,PD_03,PD_01
AZD-8055,Lapatinib,SW837,-0.868256672,PD_03,PD_04
AZD-8055,Navitoclax,SW837,12.9098722,PD_03,PD_09
AZD-8055,Neratinib,SW837,-4.9869903,PD_03,PD_04
AZD-8055,Obatoclax Mesylate,SW837,-2.408555706,PD_03,PD_10
AZD-8055,oxaliplatin,SW837,-10.42892251,PD_03,
AZD-8055,Palbociclib,SW837,-7.563125562,PD_03,PD_08
AZD-8055,SN-38,SW837,-3.168549475,PD_03,
AZD-8055,Ulixertinib,SW837,-7.097679667,PD_03,PD_11
Capivasertib,Lapatinib,SW837,7.80100856,PD_01,PD_04
Capivasertib,Neratinib,SW837,0.192529833,PD_01,PD_04
Everolimus,Capivasertib,SW837,-6.738845999,PD_03,PD_01
Everolimus,Ipatasertib,SW837,-8.340890897,PD_03,PD_01
Everolimus,Lapatinib,SW837,-6.668654545,PD_03,PD_04
Everolimus,Navitoclax,SW837,10.06267065,PD_03,PD_09
Everolimus,Neratinib,SW837,-7.710713931,PD_03,PD_04
Everolimus,Obatoclax Mesylate,SW837,-2.78292056,PD_03,PD_10
Everolimus,oxaliplatin,SW837,-12.64801649,PD_03,
Everolimus,Palbociclib,SW837,-9.471481458,PD_03,PD_08
Everolimus,SN-38,SW837,-5.52781235,PD_03,
