,drug_combination,cell_line,synergy
400,PF-477736 + MK-1775,SW1417,-4.927592677
401,PF-477736 + Niraparib,SW1417,-5.058191319
402,PF-477736 + Olaparib,SW1417,-9.448041877
403,PF-477736 + PF-3644022,SW1417,-5.325818436
404,PF-477736 + Palbociclib,SW1417,-5.765464891
405,Prexasertib + MK-1775,SW1417,-6.806261401
406,Prexasertib + Niraparib,SW1417,-7.656458835
407,Prexasertib + Olaparib,SW1417,-10.68421204
408,Prexasertib + PF-3644022,SW1417,-7.850691409
409,Prexasertib + Palbociclib,SW1417,-10.03275305
410,Torin 1 + Capivasertib,SW1417,-2.852833689
411,Torin 1 + Ipatasertib,SW1417,0.41369891
412,Torin 1 + Lapatinib,SW1417,0.511776368
413,Torin 1 + Navitoclax,SW1417,1.747648234
414,Torin 1 + Neratinib,SW1417,-4.630310836
415,Torin 1 + Obatoclax,SW1417,-3.773005593
416,Torin 1 + Palbociclib,SW1417,-7.376681588
417,Torin 1 + Ulixertinib,SW1417,-2.679795498
418,AZD-8055 + Capivasertib,SW1463,-0.528206793
419,AZD-8055 + Ipatasertib,SW1463,-2.909594395
420,AZD-8055 + Lapatinib,SW1463,20.08318417
421,AZD-8055 + Navitoclax,SW1463,14.13848859
422,AZD-8055 + Neratinib,SW1463,-1.765927761
423,AZD-8055 + Obatoclax,SW1463,13.34712262
424,AZD-8055 + Palbociclib,SW1463,1.6313249
425,AZD-8055 + Ulixertinib,SW1463,7.538900292
426,Capivasertib + Lapatinib,SW1463,21.0275799
427,Capivasertib + Neratinib,SW1463,4.422643082
428,Everolimus + Capivasertib,SW1463,-0.016695017
429,Everolimus + Ipatasertib,SW1463,-1.368040692
430,Everolimus + Lapatinib,SW1463,6.887616838
431,Everolimus + Navitoclax,SW1463,2.358865567
432,Everolimus + Neratinib,SW1463,-16.51158403
433,Everolimus + Obatoclax,SW1463,11.10553754
434,Everolimus + Palbociclib,SW1463,-3.703352866
435,Everolimus + Ulixertinib,SW1463,2.530628436
436,Ipatasertib + Lapatinib,SW1463,17.10890913
437,Ipatasertib + Neratinib,SW1463,-1.109832873
438,PF-477736 + MK-1775,SW1463,-15.72899095
439,PF-477736 + Niraparib,SW1463,-39.20125857
440,PF-477736 + Olaparib,SW1463,-43.06708302
441,PF-477736 + PF-3644022,SW1463,-15.71463356
442,PF-477736 + Palbociclib,SW1463,-8.94511385
443,Prexasertib + MK-1775,SW1463,1.345326999
444,Prexasertib + Niraparib,SW1463,-33.43831521
445,Prexasertib + Olaparib,SW1463,-37.59471866
446,Prexasertib + PF-3644022,SW1463,-10.14209785
447,Prexasertib + Palbociclib,SW1463,-15.3926095
448,Torin 1 + Capivasertib,SW1463,-5.095960675
449,Torin 1 + Ipatasertib,SW1463,-2.984322425
450,Torin 1 + Lapatinib,SW1463,15.14755903
451,Torin 1 + Navitoclax,SW1463,9.172055353
452,Torin 1 + Neratinib,SW1463,-6.910925754
453,Torin 1 + Obatoclax,SW1463,6.29868226
454,Torin 1 + Palbociclib,SW1463,-2.374934262
455,Torin 1 + Ulixertinib,SW1463,0.581943764
